NAMES,SMILES,VALUE
C0088_A0029,CC(CC#N)[B-](F)(F)F.N#CCCCn1cc[n+](CCCC#N)c1,-70
C0239_A0029,CC(CC#N)[B-](F)(F)F.O=C(O)CCCn1cc[n+](CCCC(=O)O)c1,38
C0630_A0004,C[C@H](C[n+]1ccn(C)c1)OCc1ccccc1.[Br-],58
C0630_A0020,C[C@H](C[n+]1ccn(C)c1)OCc1ccccc1.F[B-](F)(F)F,42
C0630_A0011,C[C@H](C[n+]1ccn(C)c1)OCc1ccccc1.F[P-](F)(F)(F)(F)F,93
C1084_A0011,Cn1cc[n+](CC(Br)CBr)c1.F[P-](F)(F)(F)(F)F,71
C0528_A0033,C#CCCCn1cc[n+](CCCC#C)c1.[Cl-],65
C0528_A0020,C#CCCCn1cc[n+](CCCC#C)c1.F[B-](F)(F)F,-23
C0841_A0084,O=S(=O)([O-])C(F)(F)F.c1ccc(Cn2cc[n+](Cc3ccccc3)c2)cc1,73
C0841_A0030,Cc1ccc(S(=O)(=O)[O-])cc1.c1ccc(Cn2cc[n+](Cc3ccccc3)c2)cc1,114
C0210_A0033,CC1=NC(C)=C(C)[NH2+]1.[Cl-],194
C1086_A0033,Cc1n(C)cc[n+]1C.[Cl-],189
C0162_A0033,CCn1cc[n+](C)c1C.[Cl-],188
C0162_A0004,CCn1cc[n+](C)c1C.[Br-],141
C0162_A0067,CCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,25
C0162_A0084,CCn1cc[n+](C)c1C.O=S(=O)([O-])C(F)(F)F,109
C0162_A0064,CCn1cc[n+](C)c1C.O=C([O-])C(F)(F)F,59
C0305_A0048,CC[n+]1cn(C)cc1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-39
C0305_A0084,CC[n+]1cn(C)cc1C.O=S(=O)([O-])C(F)(F)F,6
C0443_A0031,CCn1cc(C)[n+](CC)c1.O=C([O-])c1ccccc1,16
C0443_A0048,CCn1cc(C)[n+](CC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-22
C0443_A0084,CCn1cc(C)[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,35
C0148_A0033,CCCn1cc[n+](CC)c1CC.[Cl-],138
C0052_A0048,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,15
C0052_A0067,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,34
C0052_A0011,CCCn1cc[n+](C)c1C.F[P-](F)(F)(F)(F)F,78
C0862_A0048,CCc1n(C)cc[n+]1CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,28
C0862_A0084,CCc1n(C)cc[n+]1CC.O=S(=O)([O-])C(F)(F)F,113
C1098_A0020,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,37
C1098_A0007,CCCC[n+]1ccn(C)c1C.O=C1[N-]S(=O)(=O)c2ccccc21,70
C1098_A0079,CCCC[n+]1ccn(C)c1C.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,60
